"","iso_code","continent","location","year","month","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_per_case","positive_rate","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index"
"13069","ETH","Africa","Ethiopia",2020,7,13,7560,158,244.857,127,3,3.429,65.76,1.374,2.13,1.105,0.026,0.03,NA,NA,NA,NA,3993,0.035,16.307,0.061,"tests performed",80.56,114963583,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.463
"31352","PAK","Asia","Pakistan",2020,8,23,292765,591,578.286,6235,4,9.571,1325.374,2.676,2.618,28.226,0.018,0.043,24956,2439858,11.045,0.113,23244,0.105,40.195,0.025,"tests performed",47.69,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
"35051","SGP","Asia","Singapore",2020,7,5,44664,185,202.571,26,0,0,7634.424,31.622,34.626,4.444,0,0,NA,NA,NA,NA,7211,1.233,35.597,0.028,"people tested",53.7,5850343,7915.731,42.4,12.922,7.049,85535.383,NA,92.243,10.99,5.2,28.3,NA,2.4,83.62,0.932
"7630","CHN","Asia","China",2020,4,27,83912,3,13.571,4637,1,0.143,58.3,0.002,0.009,3.222,0.001,0,NA,NA,NA,NA,NA,NA,NA,NA,"",56.94,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,NA,4.34,76.91,0.752
"34833","SEN","Africa","Senegal",2020,8,15,11872,132,140.714,249,5,3.429,709.033,7.883,8.404,14.871,0.299,0.205,1886,132439,7.91,0.113,1621,0.097,11.52,0.087,"tests performed",32.41,16743930,82.328,18.7,3.008,1.796,2470.58,38,241.219,2.42,0.4,16.6,20.859,NA,67.94,0.505
"33079","PSE","Asia","Palestine",2020,7,8,5092,306,332.429,22,1,1.857,998.154,59.983,65.164,4.313,0.196,0.364,NA,NA,NA,NA,NA,NA,NA,NA,"",83.33,5101416,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,NA,NA,NA,NA,74.05,0.686
"30471","NPL","Asia","Nepal",2020,5,11,120,11,6.429,0,0,0,4.119,0.378,0.221,0,0,0,911,17809,0.611,0.031,596,0.02,92.711,0.011,"tests performed",92.59,29136808,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.574
"24097","LKA","Asia","Sri Lanka",2020,6,8,1835,21,28.857,11,0,0.143,85.695,0.981,1.348,0.514,0,0.007,1766,78723,3.676,0.082,1757,0.082,60.886,0.016,"tests performed",60.19,21413250,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,NA,3.6,76.98,0.77
"26203","MEX","North America","Mexico",2020,5,10,33460,1938,1624.571,3353,193,184.571,259.515,15.031,12.6,26.006,1.497,1.432,2704,136574,1.059,0.021,4928,0.038,3.033,0.33,"people tested",82.41,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.774
"39392","TUN","Africa","Tunisia",2020,6,10,1087,0,0.143,49,0,0.143,91.974,0,0.012,4.146,0,0.012,1063,53909,4.561,0.09,446,0.038,3122,0,"tests performed",29.63,11818618,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.735
"7608","CHN","Asia","China",2020,4,5,82575,48,73.714,3333,3,4.143,57.371,0.033,0.051,2.316,0.002,0.003,NA,NA,NA,NA,NA,NA,NA,NA,"",69.91,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,NA,4.34,76.91,0.752
"39898","TWN","Asia","Taiwan",2020,8,11,480,0,0.571,7,0,0,20.154,0,0.024,0.294,0,0,147,83823,3.519,0.006,186,0.008,325.5,0.003,"people tested",19.44,23816775,NA,42.2,NA,8.353,NA,NA,103.957,NA,NA,NA,NA,NA,80.46,NA
"36366","STP","Africa","Sao Tome and Principe",2020,7,9,724,0,1.286,13,0,0,3303.507,0,5.867,59.317,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,219161,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,NA,NA,41.34,2.9,70.39,0.589
"39868","TWN","Asia","Taiwan",2020,7,12,451,0,0.286,7,0,0,18.936,0,0.012,0.294,0,0,126,78619,3.301,0.005,150,0.006,525,0.002,"people tested",19.44,23816775,NA,42.2,NA,8.353,NA,NA,103.957,NA,NA,NA,NA,NA,80.46,NA
"11291","DOM","North America","Dominican Republic",2020,8,2,71415,1766,1502.714,1170,10,16.429,6583.299,162.796,138.526,107.855,0.922,1.514,1685,268529,24.754,0.155,3412,0.315,2.271,0.44,"samples tested",78.7,10847904,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.736
"6953","CAN","North America","Canada",2020,6,1,90936,757,892.571,7295,222,124.429,2409.401,20.057,23.649,193.285,5.882,3.297,28255,1691297,44.812,0.749,30219,0.801,33.856,0.03,"people tested",70.83,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,NA,2.5,82.43,0.926
"5327","BMU","North America","Bermuda",2020,5,18,123,0,0.714,9,0,0.286,1975.174,0,11.47,144.525,0,4.588,NA,NA,NA,NA,NA,NA,NA,NA,"",72.22,62273,1308.82,NA,NA,NA,50669.315,NA,139.547,13,NA,NA,NA,NA,82.59,NA
"22963","LBN","Asia","Lebanon",2020,1,14,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",0,6825442,594.561,31.1,8.514,5.43,13367.565,NA,266.591,12.71,26.9,40.7,NA,2.9,78.93,0.757
"26114","MEX","North America","Mexico",2020,2,11,0,0,0,0,0,0,0,0,0,0,0,0,49,1360,0.011,0,37,0,NA,0,"people tested",0,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.774
"35941","SRB","Europe","Serbia",2020,3,27,384,81,36.857,3,1,0.429,56.432,11.904,5.417,0.441,0.147,0.063,259,1715,0.252,0.038,161,0.024,4.368,0.229,"people tested",100,6804596,80.291,41.2,17.366,NA,14048.881,NA,439.415,10.08,37.7,40.2,97.719,5.609,76,0.787
"22675","KWT","Asia","Kuwait",2020,6,7,31131,487,705.571,254,10,7,7289.671,114.036,165.217,59.477,2.342,1.639,3661,315285,73.828,0.857,3132,0.733,4.439,0.225,"tests performed",84.26,4270563,232.128,33.7,2.345,1.114,65530.537,NA,132.235,15.84,2.7,37,NA,2,75.49,0.803
"40931","UZB","Asia","Uzbekistan",2020,3,22,33,0,4.714,0,0,0,0.986,0,0.141,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",63.89,33469199,76.134,28.2,4.469,2.873,6253.104,NA,724.417,7.57,1.3,24.7,NA,4,71.72,0.71
"20625","JAM","North America","Jamaica",2020,9,4,2896,74,146.571,29,2,1.429,977.995,24.99,49.498,9.793,0.675,0.482,NA,NA,NA,NA,NA,NA,NA,NA,"",78.7,2961161,266.879,31.4,9.684,6.39,8193.571,NA,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.732
"13768","FLK","South America","Falkland Islands",2020,8,29,13,0,0,0,0,0,3732.415,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",19.44,3483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.44,NA
"38472","TGO","Africa","Togo",2020,7,10,704,9,5.286,15,0,0.143,85.037,1.087,0.638,1.812,0,0.017,509,34627,4.183,0.061,335,0.04,63.378,0.016,"tests performed",53.7,8278737,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.503
"27249","MNE","Europe","Montenegro",2020,6,13,324,0,0,9,0,0,515.873,0,0,14.33,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,628062,46.28,39.1,14.762,9.395,16409.288,1,387.305,10.08,44,47.9,NA,3.861,76.88,0.814
"26515","MKD","Europe","Macedonia",2020,7,2,6470,120,145.714,306,4,6.714,3105.53,57.599,69.941,146.877,1.92,3.223,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2083380,82.6,39.1,13.26,8.16,13111.214,5,322.688,10.08,NA,NA,NA,4.28,75.8,0.757
"18621","IMN","Europe","Isle of Man",2020,8,30,336,0,0,24,0,0,3951.454,0,0,282.247,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,85032,147.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.4,NA
"5497","BOL","South America","Bolivia",2020,5,1,1167,57,66.286,62,3,2.714,99.974,4.883,5.679,5.311,0.257,0.233,424,6975,0.598,0.036,240,0.021,3.621,0.276,"tests performed",96.3,11673029,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,NA,NA,25.383,1.1,71.51,0.693
"40456","UKR","Europe","Ukraine",2020,8,20,96403,1967,1466.143,2144,28,21.714,2204.315,44.977,33.524,49.024,0.64,0.497,21698,1356698,31.022,0.496,17539,0.401,11.963,0.084,"tests performed",54.17,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,NA,8.8,72.06,0.751
"23285","LBR","Africa","Liberia",2020,6,2,296,8,4.429,27,0,0.143,58.525,1.582,0.876,5.338,0,0.028,NA,NA,NA,NA,NA,NA,NA,NA,"",84.26,5057677,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.435
"25578","MDA","Europe","Moldova",2020,5,11,4927,60,115.143,169,8,6.286,1221.38,14.874,28.543,41.894,1.983,1.558,NA,NA,NA,NA,NA,NA,NA,NA,"",84.26,4033963,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.7
"30700","NZL","Oceania","New Zealand",2020,4,11,1035,20,30.143,4,2,0.429,214.631,4.147,6.251,0.829,0.415,0.089,2421,61167,12.684,0.502,3523,0.731,116.877,0.009,"tests performed",96.3,4822233,18.206,37.9,15.322,9.72,36085.843,NA,128.797,8.08,14.8,17.2,NA,2.61,82.29,0.917
"2790","AZE","Asia","Azerbaijan",2020,7,5,19801,534,558.714,241,6,6.857,1952.92,52.667,55.105,23.769,0.592,0.676,NA,NA,NA,NA,NA,NA,NA,NA,"",96.3,10139175,119.309,32.4,6.018,3.871,15847.419,NA,559.812,7.11,0.3,42.5,83.241,4.7,73,0.757
"14956","GGY","Europe","Guernsey",2020,4,5,136,22,13.857,2,0,0.286,2028.277,328.104,206.663,29.828,0,4.261,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,67052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10208","DEU","Europe","Germany",2020,1,6,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",0,83783945,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.936
"6255","BRN","Asia","Brunei",2020,9,8,145,0,0.143,3,0,0,331.441,0,0.327,6.857,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,437483,81.347,32.4,4.591,2.382,71809.251,NA,201.285,12.79,2,30.9,NA,2.7,75.86,0.853
"29028","NCL","Oceania","New Caledonia",2020,3,23,5,1,NA,0,0,NA,17.514,3.503,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,285491,15.342,33.4,9.954,6.489,NA,NA,NA,23.36,NA,NA,NA,NA,77.55,NA
"18018","HUN","Europe","Hungary",2020,3,17,50,11,5.857,1,0,0.143,5.176,1.139,0.606,0.104,0,0.015,117,1587,0.164,0.012,151,0.016,25.78,0.039,"tests performed",67.59,9660350,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,NA,7.02,76.88,0.838
"2682","AZE","Asia","Azerbaijan",2020,3,19,34,6,3,0,0,0,3.353,0.592,0.296,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",61.11,10139175,119.309,32.4,6.018,3.871,15847.419,NA,559.812,7.11,0.3,42.5,83.241,4.7,73,0.757
"14551","GBR","Europe","United Kingdom",2020,5,8,199404,3827,3830.286,30321,458,519.714,2937.336,56.374,56.422,446.646,6.747,7.656,76741,1420462,20.924,1.13,71111,1.048,18.565,0.054,"tests performed",79.63,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"18876","IND","Asia","India",2020,8,26,3234474,67151,66743,59449,1059,937.143,2343.814,48.66,48.364,43.079,0.767,0.679,924998,38576510,27.954,0.67,845037,0.612,12.661,0.079,"samples tested",79.63,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64
"4244","BHR","Asia","Bahrain",2020,2,7,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",11.11,1701583,1935.907,32.4,2.372,1.387,43290.705,NA,151.689,16.52,5.8,37.6,NA,2,77.29,0.846
"6988","CAN","North America","Canada",2020,7,6,105524,219,326.429,8684,10,23.143,2795.919,5.803,8.649,230.088,0.265,0.613,25971,2940849,77.919,0.688,37746,1,115.633,0.009,"people tested",68.98,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,NA,2.5,82.43,0.926
"39027","TLS","Asia","Timor",2020,6,22,24,0,0,0,0,0,18.203,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",30.56,1318442,87.176,18,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.625
"19314","IRN","Asia","Iran",2020,6,7,169425,2269,2925,8209,75,67.857,2017.134,27.014,34.824,97.734,0.893,0.808,24731,1084857,12.916,0.294,21280,0.253,7.275,0.137,"tests performed",48.15,83992953,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,NA,1.5,76.68,0.798
"34687","SEN","Africa","Senegal",2020,3,22,56,9,5,0,0,0,3.344,0.538,0.299,0,0,0,85,331,0.02,0.005,39,0.002,7.8,0.128,"tests performed",50,16743930,82.328,18.7,3.008,1.796,2470.58,38,241.219,2.42,0.4,16.6,20.859,NA,67.94,0.505
"9996","CZE","Europe","Czech Republic",2020,2,22,0,0,0,0,0,0,0,0,0,0,0,0,NA,83,0.008,NA,1,0,NA,0,"tests performed",16.67,10708982,137.176,43.3,19.027,11.58,32605.906,NA,227.485,6.82,30.5,38.3,NA,6.63,79.38,0.888
"9070","CRI","North America","Costa Rica",2020,4,26,693,6,5.429,6,0,0.286,136.039,1.178,1.066,1.178,0,0.056,37,8932,1.753,0.007,163,0.032,NA,NA,"people tested (incl. non-PCR)",75.93,5094114,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.794
