continent,location,date,new_cases,new_deaths,new_tests,population,median_age,gdp_per_capita,life_expectancy
North America,Aruba,2020-04-01,5,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-04-02,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-04-03,5,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-04-04,2,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-04-05,2,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-04-06,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-04-07,7,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-04-08,3,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-04-09,3,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-04-10,5,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-04-11,4,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-04-12,6,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-04-13,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-04-14,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-04-15,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-04-16,1,1,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-04-17,2,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-04-18,1,1,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-04-19,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-04-20,1,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-04-21,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-04-22,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-04-23,3,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-04-24,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-04-25,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-04-26,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-04-27,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-04-28,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-04-29,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-04-30,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-05-01,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-05-02,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-05-03,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-05-04,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-05-05,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-05-06,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-05-07,1,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-05-08,0,1,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-05-09,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-05-10,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-05-11,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-05-12,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-05-13,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-05-14,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-05-15,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-05-16,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-05-17,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-05-18,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-05-19,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-05-20,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-05-21,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-05-22,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-05-23,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-05-24,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-05-25,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-05-26,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-05-27,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-05-28,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-05-29,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-05-30,0,0,NA,106766,41.2,35973.781,76.29
North America,Aruba,2020-05-31,0,0,NA,106766,41.2,35973.781,76.29
Asia,Afghanistan,2020-04-01,25,0,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-04-02,26,0,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-04-03,43,0,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-04-04,0,0,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-04-05,35,1,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-04-06,29,2,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-04-07,38,0,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-04-08,30,4,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-04-09,56,3,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-04-10,61,1,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-04-11,37,0,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-04-12,34,3,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-04-13,52,0,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-04-14,58,3,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-04-15,49,2,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-04-16,70,2,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-04-17,10,4,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-04-18,51,1,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-04-19,63,0,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-04-20,88,3,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-04-21,35,2,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-04-22,61,1,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-04-23,84,4,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-04-24,105,2,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-04-25,70,1,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-04-26,112,4,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-04-27,68,10,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-04-28,172,0,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-04-29,124,3,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-04-30,122,0,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-05-01,222,4,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-05-02,164,4,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-05-03,134,4,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-05-04,235,13,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-05-05,190,5,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-05-06,330,5,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-05-07,168,9,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-05-08,171,2,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-05-09,215,3,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-05-10,255,6,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-05-11,369,5,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-05-12,285,2,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-05-13,280,5,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-05-14,259,3,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-05-15,113,6,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-05-16,1063,32,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-05-17,0,0,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-05-18,262,1,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-05-19,408,4,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-05-20,581,5,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-05-21,492,9,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-05-22,531,6,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-05-23,540,12,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-05-24,782,11,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-05-25,584,2,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-05-26,591,1,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-05-27,658,1,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-05-28,625,7,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-05-29,580,8,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-05-30,623,11,NA,38928341,18.6,1803.987,64.83
Asia,Afghanistan,2020-05-31,866,3,NA,38928341,18.6,1803.987,64.83
Africa,Angola,2020-04-01,0,0,NA,32866268,16.8,5819.495,61.15
Africa,Angola,2020-04-02,1,0,NA,32866268,16.8,5819.495,61.15
Africa,Angola,2020-04-03,0,0,NA,32866268,16.8,5819.495,61.15
Africa,Angola,2020-04-04,0,0,NA,32866268,16.8,5819.495,61.15
Africa,Angola,2020-04-05,2,0,NA,32866268,16.8,5819.495,61.15
Africa,Angola,2020-04-06,4,0,NA,32866268,16.8,5819.495,61.15
Africa,Angola,2020-04-07,2,0,NA,32866268,16.8,5819.495,61.15
Africa,Angola,2020-04-08,1,0,NA,32866268,16.8,5819.495,61.15
Africa,Angola,2020-04-09,2,0,NA,32866268,16.8,5819.495,61.15
Africa,Angola,2020-04-10,0,0,NA,32866268,16.8,5819.495,61.15
Africa,Angola,2020-04-11,0,0,NA,32866268,16.8,5819.495,61.15
