location,year,month,date,new_cases,positive_rate,population,median_age
Aruba,2020,June,1,0,NA,106766,41.2
Aruba,2020,June,2,0,NA,106766,41.2
Aruba,2020,June,3,0,NA,106766,41.2
Aruba,2020,June,4,0,NA,106766,41.2
Aruba,2020,June,5,0,NA,106766,41.2
Aruba,2020,June,6,0,NA,106766,41.2
Aruba,2020,June,7,0,NA,106766,41.2
Aruba,2020,June,8,0,NA,106766,41.2
Aruba,2020,June,9,0,NA,106766,41.2
Aruba,2020,June,10,0,NA,106766,41.2
Aruba,2020,June,11,0,NA,106766,41.2
Aruba,2020,June,12,0,NA,106766,41.2
Aruba,2020,June,13,0,NA,106766,41.2
Aruba,2020,June,14,0,NA,106766,41.2
Aruba,2020,June,15,0,NA,106766,41.2
Aruba,2020,June,16,0,NA,106766,41.2
Aruba,2020,June,17,0,NA,106766,41.2
Aruba,2020,June,18,0,NA,106766,41.2
Aruba,2020,June,19,0,NA,106766,41.2
Aruba,2020,June,20,0,NA,106766,41.2
Aruba,2020,June,21,0,NA,106766,41.2
Aruba,2020,June,22,0,NA,106766,41.2
Aruba,2020,June,23,0,NA,106766,41.2
Aruba,2020,June,24,0,NA,106766,41.2
Aruba,2020,June,25,0,NA,106766,41.2
Aruba,2020,June,26,0,NA,106766,41.2
Aruba,2020,June,27,0,NA,106766,41.2
Aruba,2020,June,28,0,NA,106766,41.2
Aruba,2020,June,29,0,NA,106766,41.2
Aruba,2020,June,30,2,NA,106766,41.2
Aruba,2020,July,1,0,NA,106766,41.2
Aruba,2020,July,2,0,NA,106766,41.2
Aruba,2020,July,3,1,NA,106766,41.2
Aruba,2020,July,4,0,NA,106766,41.2
Aruba,2020,July,5,1,NA,106766,41.2
Aruba,2020,July,6,0,NA,106766,41.2
Aruba,2020,July,7,0,NA,106766,41.2
Aruba,2020,July,8,0,NA,106766,41.2
Aruba,2020,July,9,0,NA,106766,41.2
Aruba,2020,July,10,0,NA,106766,41.2
Aruba,2020,July,11,0,NA,106766,41.2
Aruba,2020,July,12,0,NA,106766,41.2
Aruba,2020,July,13,0,NA,106766,41.2
Aruba,2020,July,14,0,NA,106766,41.2
Aruba,2020,July,15,1,NA,106766,41.2
Aruba,2020,July,16,0,NA,106766,41.2
Aruba,2020,July,17,2,NA,106766,41.2
Aruba,2020,July,18,0,NA,106766,41.2
Aruba,2020,July,19,0,NA,106766,41.2
Aruba,2020,July,20,5,NA,106766,41.2
Aruba,2020,July,21,2,NA,106766,41.2
Aruba,2020,July,22,2,NA,106766,41.2
Aruba,2020,July,23,0,NA,106766,41.2
Aruba,2020,July,24,0,NA,106766,41.2
Aruba,2020,July,25,1,NA,106766,41.2
Aruba,2020,July,26,1,NA,106766,41.2
Aruba,2020,July,27,0,NA,106766,41.2
Aruba,2020,July,28,0,NA,106766,41.2
Aruba,2020,July,29,0,NA,106766,41.2
Aruba,2020,July,30,0,NA,106766,41.2
Aruba,2020,July,31,1,NA,106766,41.2
Afghanistan,2020,June,1,680,NA,38928341,18.6
Afghanistan,2020,June,2,545,NA,38928341,18.6
Afghanistan,2020,June,3,759,NA,38928341,18.6
Afghanistan,2020,June,4,758,NA,38928341,18.6
Afghanistan,2020,June,5,787,NA,38928341,18.6
Afghanistan,2020,June,6,915,NA,38928341,18.6
Afghanistan,2020,June,7,582,NA,38928341,18.6
Afghanistan,2020,June,8,791,NA,38928341,18.6
Afghanistan,2020,June,9,575,NA,38928341,18.6
Afghanistan,2020,June,10,542,NA,38928341,18.6
Afghanistan,2020,June,11,684,NA,38928341,18.6
Afghanistan,2020,June,12,747,NA,38928341,18.6
Afghanistan,2020,June,13,656,NA,38928341,18.6
Afghanistan,2020,June,14,556,NA,38928341,18.6
Afghanistan,2020,June,15,664,NA,38928341,18.6
Afghanistan,2020,June,16,761,NA,38928341,18.6
Afghanistan,2020,June,17,783,NA,38928341,18.6
Afghanistan,2020,June,18,564,NA,38928341,18.6
Afghanistan,2020,June,19,658,NA,38928341,18.6
Afghanistan,2020,June,20,346,NA,38928341,18.6
Afghanistan,2020,June,21,546,NA,38928341,18.6
Afghanistan,2020,June,22,409,NA,38928341,18.6
Afghanistan,2020,June,23,310,NA,38928341,18.6
Afghanistan,2020,June,24,338,NA,38928341,18.6
Afghanistan,2020,June,25,234,NA,38928341,18.6
Afghanistan,2020,June,26,460,NA,38928341,18.6
Afghanistan,2020,June,27,276,NA,38928341,18.6
Afghanistan,2020,June,28,165,NA,38928341,18.6
Afghanistan,2020,June,29,351,NA,38928341,18.6
Afghanistan,2020,June,30,271,NA,38928341,18.6
Afghanistan,2020,July,1,279,NA,38928341,18.6
Afghanistan,2020,July,2,319,NA,38928341,18.6
Afghanistan,2020,July,3,186,NA,38928341,18.6
