year,month,day,location,daily_vaccinations_per_million,total_vaccinations_per_hundred
2021,1,12,Alabama,NA,1.59
2021,1,13,Alabama,1205,1.71
2021,1,14,Alabama,1445,1.88
2021,1,15,Alabama,1525,2.05
2021,1,16,Alabama,1529,NA
2021,1,17,Alabama,1531,NA
2021,1,18,Alabama,1533,NA
2021,1,19,Alabama,1534,2.67
2021,1,20,Alabama,1607,2.84
2021,1,21,Alabama,2145,3.38
2021,1,22,Alabama,2877,4.06
2021,1,23,Alabama,3304,4.52
2021,1,24,Alabama,3731,4.97
2021,1,25,Alabama,3711,5.11
2021,1,26,Alabama,3618,5.2
2021,1,27,Alabama,3707,5.43
2021,1,28,Alabama,3294,5.69
2021,1,29,Alabama,2960,6.14
2021,1,30,Alabama,3522,6.98
2021,1,31,Alabama,3212,7.22
2021,2,1,Alabama,3137,7.31
2021,2,2,Alabama,3407,7.58
2021,2,3,Alabama,3552,7.92
2021,2,4,Alabama,3771,8.33
2021,2,5,Alabama,3778,8.78
2021,2,6,Alabama,3285,9.28
2021,2,7,Alabama,3157,9.43
2021,2,8,Alabama,3186,9.54
2021,2,9,Alabama,3470,10.01
2021,2,10,Alabama,3714,10.52
2021,2,11,Alabama,3928,11.08
2021,2,12,Alabama,4094,11.65
2021,2,13,Alabama,4253,12.26
2021,2,14,Alabama,4368,12.49
2021,2,15,Alabama,4569,NA
2021,2,16,Alabama,4245,12.99
2021,2,17,Alabama,3911,13.26
2021,2,18,Alabama,3753,13.71
2021,2,19,Alabama,4895,15.07
2021,2,20,Alabama,5121,15.85
2021,2,21,Alabama,5138,16.08
2021,2,22,Alabama,4928,16.19
2021,2,23,Alabama,5198,16.62
2021,2,24,Alabama,5527,17.13
2021,2,25,Alabama,5615,17.64
2021,2,26,Alabama,4508,18.23
2021,2,27,Alabama,4491,18.99
2021,2,28,Alabama,4484,19.22
2021,3,1,Alabama,4510,19.34
2021,3,2,Alabama,4576,19.83
2021,3,3,Alabama,4671,20.4
2021,3,4,Alabama,4878,21.05
2021,3,5,Alabama,4974,21.71
2021,3,6,Alabama,4913,22.43
2021,3,7,Alabama,4884,22.64
2021,3,8,Alabama,4903,22.77
2021,3,9,Alabama,4919,23.27
2021,3,10,Alabama,5063,23.94
2021,3,11,Alabama,5175,24.67
2021,3,12,Alabama,5379,25.48
2021,3,13,Alabama,5493,26.27
2021,3,14,Alabama,5492,26.49
2021,3,15,Alabama,5528,26.64
2021,3,16,Alabama,5574,27.17
2021,3,17,Alabama,5541,27.82
2021,3,18,Alabama,5252,28.35
2021,3,19,Alabama,5171,29.1
2021,3,20,Alabama,5027,29.79
2021,3,21,Alabama,5071,30.03
2021,3,22,Alabama,5036,30.17
2021,3,23,Alabama,5161,30.78
2021,3,24,Alabama,5199,31.46
2021,3,25,Alabama,5507,32.21
2021,3,26,Alabama,5382,32.86
2021,3,27,Alabama,5392,33.57
2021,3,28,Alabama,5432,33.84
2021,3,29,Alabama,5457,33.99
2021,3,30,Alabama,5483,34.62
2021,3,31,Alabama,5429,35.26
2021,4,1,Alabama,5620,36.14
2021,4,2,Alabama,5887,36.99
2021,4,3,Alabama,5867,37.67
2021,4,4,Alabama,5819,37.91
2021,4,5,Alabama,5777,38.03
2021,4,6,Alabama,5806,38.69
2021,4,7,Alabama,6016,39.47
2021,4,8,Alabama,5954,40.31
2021,4,9,Alabama,6056,41.22
2021,4,10,Alabama,6354,42.12
2021,4,11,Alabama,6520,42.47
2021,4,12,Alabama,6632,42.68
2021,4,13,Alabama,6713,43.39
2021,4,14,Alabama,6808,44.23
2021,4,15,Alabama,6732,45.02
2021,4,16,Alabama,6533,45.8
2021,4,17,Alabama,6275,46.51
2021,4,18,Alabama,6109,46.75
2021,4,19,Alabama,5975,46.86
2021,4,20,Alabama,5840,47.47
2021,4,21,Alabama,5584,48.14
2021,4,22,Alabama,5446,48.83
2021,4,23,Alabama,5363,49.55
2021,4,24,Alabama,5268,50.2
2021,4,25,Alabama,5219,50.4
2021,4,26,Alabama,5264,50.54
2021,4,27,Alabama,5009,50.98
2021,4,28,Alabama,4874,51.55
2021,4,29,Alabama,4826,52.21
2021,4,30,Alabama,4706,52.85
2021,5,1,Alabama,4542,53.38
2021,5,2,Alabama,4408,53.49
2021,5,3,Alabama,4344,53.58
2021,5,4,Alabama,4224,53.94
2021,5,5,Alabama,4170,54.47
2021,5,6,Alabama,3299,54.52
2021,5,7,Alabama,3939,55.6
2021,5,8,Alabama,4097,56.25
2021,5,9,Alabama,4239,56.46
2021,5,10,Alabama,4262,56.57
2021,5,11,Alabama,3765,56.57
2021,5,12,Alabama,3517,56.94
2021,5,13,Alabama,4623,57.76
2021,5,14,Alabama,3882,58.32
2021,5,15,Alabama,3592,58.76
2021,5,16,Alabama,3435,58.86
2021,5,17,Alabama,3279,58.86
2021,5,18,Alabama,3836,59.26
