Gene,FEcap,uATG,utr,gc
YAL001C,NA,FALSE,NA,NA
YAL002W,-7,TRUE,136,0.352941176470588
YAL003W,-1.5,TRUE,22,0.363636363636364
YAL007C,-9.4,TRUE,76,0.381578947368421
YAL008W,-9.3,TRUE,49,0.408163265306122
YAL009W,-18,TRUE,26,0.384615384615385
YAL010C,-5.5,TRUE,42,0.380952380952381
YAL011W,-9,TRUE,15,0.333333333333333
YAL012W,-1.5,TRUE,65,0.4
YAL013W,-8,TRUE,19,0.263157894736842
YAL014C,-13.3,TRUE,49,0.408163265306122
YAL015C,NA,FALSE,NA,NA
YAL016W,-6.9,TRUE,88,0.375
YAL017W,NA,FALSE,NA,NA
YAL019W,-13.4,TRUE,111,0.333333333333333
YAL020C,NA,FALSE,NA,NA
YAL021C,NA,FALSE,NA,NA
YAL022C,-11.7,TRUE,17,0.294117647058824
YAL023C,-5.9,TRUE,89,0.370786516853933
YAL024C,NA,FALSE,NA,NA
YAL025C,-7.2,TRUE,24,0.333333333333333
YAL026C,NA,FALSE,NA,NA
YAL027W,-4.9,TRUE,81,0.37037037037037
YAL028W,NA,FALSE,NA,NA
YAL029C,NA,FALSE,NA,NA
YAL030W,-11,TRUE,23,0.347826086956522
YAL031C,NA,FALSE,NA,NA
YAL032C,-5,TRUE,21,0.333333333333333
YAL033W,NA,FALSE,NA,NA
YAL034C,NA,FALSE,NA,NA
YAL034WA,-9,TRUE,45,0.377777777777778
YAL035W,-4,TRUE,27,0.37037037037037
YAL036C,NA,FALSE,NA,NA
YAL038W,-4,TRUE,28,0.392857142857143
YAL039C,-3.2,TRUE,57,0.385964912280702
YAL040C,-8.8,TRUE,322,0.397515527950311
YAL041W,-13.7,TRUE,33,0.393939393939394
YAL042W,-11.7,TRUE,17,0.294117647058824
YAL043C,NA,FALSE,NA,NA
YAL044C,-7.3,TRUE,10,0.5
YAL044WA,-12.7,TRUE,2,1
YAL046C,NA,FALSE,NA,NA
YAL047C,NA,FALSE,NA,NA
YAL048C,-13.2,TRUE,2,1
YAL049C,NA,FALSE,NA,NA
YAL051W,-8.8,TRUE,26,0.384615384615385
YAL053W,NA,FALSE,NA,NA
YAL055W,-3.4,TRUE,1,1
YAL056W,NA,FALSE,NA,NA
YAL058W,NA,FALSE,NA,NA
