gene,Length,RNA.NSC.mean.tpm,RNA.siP.mean.tpm,log2FoldChange.rna,pvalue
TRGV2,544,0,0.6549991854924327,0.09897690863793877,0.9993334656328413
TRBV20-1,413,0.34855547165644335,0,-0.02567618037286743,0.1660369445257733
TRBV23-1,347,0,0.28140067420931497,0.021994079293717998,2.1171572237360908e-4
TRBV24-1,381,0,0.2134202348912503,0.02199407929371799,0.07839683126287925
TRBV27,387,0.26111880707154433,0,-0.009786137914727575,0.7813583145105785
TRBV4-2,455,0,0.21460666802336767,0.021994079293717998,0.7720777814639075
TRBV5-7,343,0,0.28468231472487565,0.021994079293717998,0.022787391293872597
TRBV5-5,350,0,0.278988668430378,0.021994079293717998,0.0016301980868781208
TRBV19,552,0.13039258133524567,0,-0.00978613791472759,0.00994999361095517
TRAV30,337,0.299860469841803,0.9556527537484834,0.042225603724543405,0.04397521428862944
TRBV7-6,392,0,0.249097025384266,0.021994079293717998,0.003606223229635077
TRBV4-1,373,0.270919512966991,0,-0.009786137914727575,0.3875140366159354
TRBV20OR9-2,416,0.7221349481841978,0.19546420551338065,-0.06762412185295812,0.011728910362752335
TRAV4,395,0,0.6135205025321174,0.06002178822231579,0.7816711938150015
TRBV5-4,544,0,0.17949638593866235,0.021994079293717998,0.5908694570540419
TRAV14DV4,425,0,0.22975537400148768,0.021994079293717998,0.7726870942446232
TRAV16,329,0.43754835803681336,0,-0.02567618037286743,5.579860988064695e-5
TRAV19,467,0.3705132403292147,0.3448126102925467,-0.019355685787821923,0.7321858145949173
TRGV1,465,0,0.34629567528305333,0.02199407929371799,0.6376988850709091
TRAV23DV6,409,0.24707329666671798,0,-0.009786137914727575,4.1875577626717655e-4
TRGV8,468,0.18050859776380235,0,-0.009786137914727561,0.20485283111264901
TRAV10,379,0,0.47218771357308365,0.04982167997350103,0.5102102796281278
TRGV9,1735,0.2721123818541683,0.056280134841863,-0.10442920752799227,0.00022719729004272289
TRAV13-2,410,0,0.19832465730138168,0.02199407929371799,0.17595153320804133
CYP2D7,1734,0.3576366943701947,0.20548994054664602,-0.07384424569554054,0.2981265388222606
