Gene,Transcript,UTR5_Length,UTR3_Length,CDS_Length,UTR5_GC_Content,UTR3_GC_Content,CDS_GC_Content,uATG_count,Transcript_FE,Translate_FE,CAI
ARF5,ENST00000000233,154,406,543,0.837662337662338,0.591133004926108,0.558011049723757,0,-9.8,-10.4,0.765497872527319
M6PR,ENST00000000412,469,1453,834,0.62046908315565,0.41431520991053,0.497601918465228,4,-10.3,0,0.687372827711295
ESRRA,ENST00000000442,171,772,1272,0.83625730994152,0.585492227979275,0.647798742138365,1,-10.7,-11.6,0.779737205990096
FKBP4,ENST00000001008,187,2165,1380,0.775401069518717,0.475288683602771,0.530434782608696,0,-1.7,-2.7,0.753024439456227
CYP26B1,ENST00000001146,204,2989,1539,0.720588235294118,0.525928404148545,0.62962962962963,0,-0.3,-7.1,0.81264716778733
NDUFAF7,ENST00000002125,40,810,1326,0.65,0.383950617283951,0.445701357466063,0,-8.7,-8.8,0.626458907608539
FUCA2,ENST00000002165,56,896,1404,0.785714285714286,0.3515625,0.482905982905983,0,-16.9,-8.4,0.675306260425701
DBNDD1,ENST00000002501,132,1470,477,0.833333333333333,0.6,0.672955974842767,1,-10.3,-8.1,0.745906632361881
HS3ST1,ENST00000002596,1175,5932,924,0.643404255319149,0.423128792987188,0.602813852813853,6,-4.9,-6.9,0.753554204842458
SEMA3F,ENST00000002829,484,960,2358,0.795454545454545,0.572916666666667,0.614927905004241,3,-7.6,-1.2,0.782914132390912
CFTR,ENST00000003084,132,1557,4443,0.568181818181818,0.38150289017341,0.415259959486833,1,0,-9.8,0.610276362632593
CYP51A1,ENST00000003100,166,1514,1530,0.656626506024096,0.360634081902246,0.443137254901961,0,-8.6,-5.1,0.63793034122075
USP28,ENST00000003302,69,1366,3234,0.811594202898551,0.383601756954612,0.45021645021645,0,-10,-7.4,0.672813835440366
STPG1,ENST00000003583,142,1538,864,0.492957746478873,0.541612483745123,0.480324074074074,3,-6.8,-3.1,0.695875351640366
PDK4,ENST00000005178,198,2142,1236,0.717171717171717,0.340336134453782,0.436084142394822,0,-1.1,-10.3,0.651953557691267
USH1C,ENST00000005226,0,0,2700,NA,NA,0.558888888888889,0,-3.6,-3.6,0.767828911782226
RALA,ENST00000005257,380,1879,621,0.681578947368421,0.364555614688664,0.420289855072464,1,-2.2,-5.1,0.670798993557591
