"Gene","Length","RPF","mRNA","uATG","Chromosome","Size"
"YAL001C",1160,18.12,37.8,FALSE,"Chr-16",0.61
"YAL002W",1274,5.73,22.17,TRUE,"Chr-11",0.5
"YAL003W",206,7065.07,4621.93,TRUE,"Chr-14",0.65
"YAL007C",215,209.47,212.43,TRUE,"Chr-9",0.55
"YAL008W",198,95.55,49.96,TRUE,"Chr-5",0.5
"YAL009W",259,18.89,34.96,TRUE,"Chr-11",0.7
"YAL010C",493,11.05,16.67,TRUE,"Chr-9",0.7
"YAL011W",625,10.5,17.4,TRUE,"Chr-5",0.52
"YAL012W",394,1094.02,568.35,TRUE,"Chr-4",0.73
"YAL013W",405,40.68,25.52,TRUE,"Chr-13",0.5
"YAL014C",255,29.91,63.3,TRUE,"Chr-7",0.51
"YAL015C",399,13.4,23.07,FALSE,"Chr-14",0.79
"YAL016W",635,155,143.31,TRUE,"Chr-2",0.62
"YAL017W",1356,20.26,50.59,FALSE,"Chr-10",0.53
"YAL019W",1131,36.23,74.28,TRUE,"Chr-6",0.67
"YAL020C",333,13.6,25.42,FALSE,"Chr-16",0.63
"YAL021C",837,60.77,92.55,FALSE,"Chr-11",0.64
"YAL022C",517,36.38,61.02,TRUE,"Chr-8",0.53
"YAL023C",759,226.78,342.37,TRUE,"Chr-2",0.72
"YAL024C",1435,7.82,25.86,FALSE,"Chr-6",0.77
"YAL025C",306,133.77,58.06,TRUE,"Chr-7",0.5
"YAL026C",1355,25.1,74.53,FALSE,"Chr-2",0.68
"YAL027W",261,14.4,18.86,TRUE,"Chr-10",0.78
"YAL028W",528,2.59,8.11,FALSE,"Chr-15",0.7
"YAL029C",1471,20.31,79.19,FALSE,"Chr-12",0.73
"YAL030W",117,134.79,127.45,TRUE,"Chr-12",0.54
"YAL031C",760,11.53,26.23,FALSE,"Chr-9",0.5
"YAL032C",379,19.56,24.41,TRUE,"Chr-1",0.79
"YAL033W",173,56.85,61.73,FALSE,"Chr-1",0.78
"YAL034C",413,2.57,18.23,FALSE,"Chr-10",0.62
"YAL034WA",289,16.1,14.48,TRUE,"Chr-10",0.8
"YAL035W",1002,420.29,403.99,TRUE,"Chr-12",0.73
"YAL036C",369,175.34,147.38,FALSE,"Chr-5",0.62
"YAL038W",500,15983.24,11070.27,TRUE,"Chr-6",0.79
"YAL039C",269,43.33,21.95,TRUE,"Chr-1",0.55
"YAL040C",580,11.13,35.55,TRUE,"Chr-2",0.63
"YAL041W",854,27.46,53.48,TRUE,"Chr-4",0.55
"YAL042W",415,172.3,263.39,TRUE,"Chr-16",0.77
"YAL043C",785,30.39,55.3,FALSE,"Chr-11",0.57
"YAL044C",170,704.01,450.75,TRUE,"Chr-8",0.65
"YAL044WA",110,132.76,115.43,TRUE,"Chr-6",0.74
"YAL046C",118,114.48,106.35,FALSE,"Chr-13",0.68
"YAL047C",622,9.27,16.7,FALSE,"Chr-1",0.6
"YAL048C",662,9.92,19.11,TRUE,"Chr-10",0.67
"YAL049C",246,123.6,94.23,FALSE,"Chr-7",0.7
"YAL051W",1047,16.27,32.25,TRUE,"Chr-2",0.73
"YAL053W",783,47.4,63.73,FALSE,"Chr-11",0.79
"YAL055W",180,22.93,23.24,TRUE,"Chr-14",0.57
"YAL056W",880,8.51,39.15,FALSE,"Chr-8",0.62
"YAL058W",502,22.87,44.41,FALSE,"Chr-2",0.74
"YAL059W",212,89.21,85.66,FALSE,"Chr-5",0.61
"YAL060W",382,175.34,187.71,FALSE,"Chr-8",0.66
"YAL061W",417,27.94,21.72,FALSE,"Chr-11",0.52
"YAR002CA",219,351.91,322.26,FALSE,"Chr-10",0.59
"YAR002W",539,78.64,70.67,TRUE,"Chr-14",0.76
"YAR003W",426,15.95,33.97,TRUE,"Chr-4",0.74
"YAR007C",621,102.65,82.58,FALSE,"Chr-1",0.64
"YAR008W",275,24.93,28.99,FALSE,"Chr-7",0.58
"YAR014C",709,41.09,69.97,TRUE,"Chr-1",0.61
"YAR015W",306,284.91,215.52,TRUE,"Chr-12",0.54
"YAR018C",435,17.35,34.73,FALSE,"Chr-14",0.67
"YAR019C",974,4.97,16.27,TRUE,"Chr-12",0.55
"YAR027W",235,69.28,66.39,FALSE,"Chr-14",0.66
"YAR028W",234,34.8,37.65,FALSE,"Chr-8",0.8
"YAR035W",687,1.41,6.45,FALSE,"Chr-14",0.69
"YAR042W",1188,26.06,62.26,FALSE,"Chr-13",0.62
"YBL001C",104,377.28,280.62,TRUE,"Chr-2",0.6
"YBL002W",131,1829.22,1005.72,TRUE,"Chr-12",0.7
"YBL004W",2493,42.94,150.69,FALSE,"Chr-8",0.69
"YBL005W",976,8.44,30.05,FALSE,"Chr-14",0.7
"YBL006C",180,85.13,103.9,FALSE,"Chr-11",0.77
"YBL007C",1244,127.96,192.07,TRUE,"Chr-15",0.7
"YBL008W",840,14.18,30.82,FALSE,"Chr-8",0.73
"YBL009W",676,25.48,33.42,TRUE,"Chr-5",0.68
"YBL010C",280,21.77,22.15,TRUE,"Chr-1",0.75
"YBL011W",759,31.5,86.24,TRUE,"Chr-7",0.8
"YBL013W",401,7.92,11.78,TRUE,"Chr-1",0.68
"YBL014C",894,5.62,38.54,FALSE,"Chr-14",0.63
"YBL015W",526,36.1,32.09,TRUE,"Chr-3",0.71
"YBL016W",353,48.73,49.77,FALSE,"Chr-1",0.52
"YBL017C",1579,70.79,121.31,FALSE,"Chr-2",0.68
"YBL018C",133,89.59,95.47,TRUE,"Chr-15",0.64
"YBL019W",520,6.32,11.83,TRUE,"Chr-2",0.74
"YBL020W",574,21.07,53.16,TRUE,"Chr-9",0.76
"YBL021C",144,59.03,41.35,TRUE,"Chr-15",0.68
"YBL022C",1133,86.38,157.64,TRUE,"Chr-8",0.63
"YBL023C",868,38.37,45.47,FALSE,"Chr-6",0.58
"YBL024W",684,175.54,171.82,FALSE,"Chr-4",0.61
"YBL025W",145,37.53,28.85,TRUE,"Chr-8",0.77
"YBL026W",95,282.35,210.33,FALSE,"Chr-12",0.74
"YBL028C",106,341.25,190.36,TRUE,"Chr-10",0.67
"YBL029CA",94,34.95,31.41,TRUE,"Chr-13",0.61
"YBL029W",376,3.31,3.01,FALSE,"Chr-11",0.65
"YBL030C",318,769.85,462.75,TRUE,"Chr-6",0.66
"YBL031W",338,11.16,23.59,TRUE,"Chr-15",0.78
"YBL032W",381,193.91,185.75,FALSE,"Chr-6",0.67
"YBL033C",345,60.3,46.79,TRUE,"Chr-1",0.73
"YBL034C",1513,12.35,29.11,FALSE,"Chr-11",0.56
"YBL035C",705,26.96,37,FALSE,"Chr-16",0.5
"YBL036C",257,177.86,119.5,TRUE,"Chr-6",0.63
"YBL037W",1025,20.02,36.83,FALSE,"Chr-13",0.74
"YBL038W",232,73.08,61.09,TRUE,"Chr-5",0.74
"YBL039C",579,317,307.45,FALSE,"Chr-15",0.64
"YBL040C",219,150.38,125.4,TRUE,"Chr-16",0.8
"YBL041W",241,394.77,287.94,TRUE,"Chr-4",0.73
