Gene,Length,RPF,mRNA,TE
YAL001C,1160,18.12,37.8,0.479365079365079
YAL002W,1274,5.73,22.17,0.258457374830853
YAL003W,206,7065.07,4621.93,1.52859736084276
YAL007C,215,209.47,212.43,0.986065998211175
YAL008W,198,95.55,49.96,1.91253002401922
YAL009W,259,18.89,34.96,0.54033180778032
YAL010C,493,11.05,16.67,0.662867426514697
YAL011W,625,10.5,17.4,0.603448275862069
YAL012W,394,1094.02,568.35,1.92490542799331
YAL013W,405,40.68,25.52,1.59404388714734
YAL014C,255,29.91,63.3,0.472511848341232
YAL015C,399,13.4,23.07,0.580840918942349
YAL016W,635,155,143.31,1.08157141860303
YAL017W,1356,20.26,50.59,0.400474402055742
YAL019W,1131,36.23,74.28,0.487749057619817
YAL020C,333,13.6,25.42,0.53501180173092
YAL021C,837,60.77,92.55,0.656618044300378
YAL022C,517,36.38,61.02,0.596197967879384
YAL023C,759,226.78,342.37,0.662382802231504
YAL024C,1435,7.82,25.86,0.302397525135344
YAL025C,306,133.77,58.06,2.30399586634516
YAL026C,1355,25.1,74.53,0.336777136723467
YAL027W,261,14.4,18.86,0.763520678685048
YAL028W,528,2.59,8.11,0.319358816276202
YAL029C,1471,20.31,79.19,0.256471776739487
YAL030W,117,134.79,127.45,1.05759121224009
YAL031C,760,11.53,26.23,0.4395730080061
YAL032C,379,19.56,24.41,0.801310938140106
YAL033W,173,56.85,61.73,0.92094605540256
YAL034C,413,2.57,18.23,0.140976412506857
YAL034WA,289,16.1,14.48,1.11187845303867
YAL035W,1002,420.29,403.99,1.04034753335479
YAL036C,369,175.34,147.38,1.18971366535487
YAL038W,500,15983.24,11070.27,1.44379857040524
YAL039C,269,43.33,21.95,1.97403189066059
YAL040C,580,11.13,35.55,0.313080168776371
YAL041W,854,27.46,53.48,0.513462976813762
YAL042W,415,172.3,263.39,0.65416302820912
YAL043C,785,30.39,55.3,0.549547920433996
YAL044C,170,704.01,450.75,1.56186356073211
YAL044WA,110,132.76,115.43,1.15013428051633
YAL046C,118,114.48,106.35,1.07644569816643
YAL047C,622,9.27,16.7,0.555089820359281
YAL048C,662,9.92,19.11,0.519099947671376
YAL049C,246,123.6,94.23,1.31168417701369
YAL051W,1047,16.27,32.25,0.504496124031008
YAL053W,783,47.4,63.73,0.743762749097756
YAL055W,180,22.93,23.24,0.986660929432014
YAL056W,880,8.51,39.15,0.217369093231162
YAL058W,502,22.87,44.41,0.514974104931322
YAL059W,212,89.21,85.66,1.04144291384544
YAL060W,382,175.34,187.71,0.934100474135635
YAL061W,417,27.94,21.72,1.28637200736648
YAR002CA,219,351.91,322.26,1.09200645441569
YAR002W,539,78.64,70.67,1.11277769916513
YAR003W,426,15.95,33.97,0.469531939947012
YAR007C,621,102.65,82.58,1.24303705497699
YAR008W,275,24.93,28.99,0.85995170748534
YAR014C,709,41.09,69.97,0.587251679291125
YAR015W,306,284.91,215.52,1.32196547884187
YAR018C,435,17.35,34.73,0.499568096746329
YAR019C,974,4.97,16.27,0.305470190534726
YAR027W,235,69.28,66.39,1.04353065220666
YAR028W,234,34.8,37.65,0.924302788844621
YAR035W,687,1.41,6.45,0.21860465116279101
YAR042W,1188,26.06,62.26,0.418567298425956
YBL001C,104,377.28,280.62,1.34445157152021
YBL002W,131,1829.22,1005.72,1.81881637036153
YBL004W,2493,42.94,150.69,0.284955869666202
YBL005W,976,8.44,30.05,0.280865224625624
YBL006C,180,85.13,103.9,0.81934552454283
YBL007C,1244,127.96,192.07,0.666215442286666
YBL008W,840,14.18,30.82,0.460090850097339
YBL009W,676,25.48,33.42,0.762417713943746
YBL010C,280,21.77,22.15,0.982844243792325
YBL011W,759,31.5,86.24,0.36525974025974
YBL013W,401,7.92,11.78,0.6723259762309
YBL014C,894,5.62,38.54,0.145822522055008
YBL015W,526,36.1,32.09,1.12496104705516
YBL016W,353,48.73,49.77,0.979103877838055
YBL017C,1579,70.79,121.31,0.583546286373753
YBL018C,133,89.59,95.47,0.938409971718865
YBL019W,520,6.32,11.83,0.534234995773457
YBL020W,574,21.07,53.16,0.396350639578631
YBL021C,144,59.03,41.35,1.42756952841596
YBL022C,1133,86.38,157.64,0.547957371225577
YBL023C,868,38.37,45.47,0.843853089949417
YBL024W,684,175.54,171.82,1.02165056454429
YBL025W,145,37.53,28.85,1.30086655112652
YBL026W,95,282.35,210.33,1.342414301336
YBL028C,106,341.25,190.36,1.7926560201723
YBL029CA,94,34.95,31.41,1.1127029608405
YBL029W,376,3.31,3.01,1.09966777408638
YBL030C,318,769.85,462.75,1.66364127498649
YBL031W,338,11.16,23.59,0.473081814328105
YBL032W,381,193.91,185.75,1.04393001345895
YBL033C,345,60.3,46.79,1.28873690959607
YBL034C,1513,12.35,29.11,0.424252834077637
YBL035C,705,26.96,37,0.728648648648649
YBL036C,257,177.86,119.5,1.48836820083682
YBL037W,1025,20.02,36.83,0.543578604398588
YBL038W,232,73.08,61.09,1.19626780160419
YBL039C,579,317,307.45,1.03106196129452
